UserID,Age,Action,Comedy,Drama,Horror,Romance,SciFi
1,20,5,2,1,1,2,5
2,22,4,3,2,1,1,5
3,24,5,2,1,2,1,4
4,23,5,1,2,1,1,5
5,21,5,2,1,1,2,5
6,25,4,2,2,2,1,4
7,26,5,1,1,1,1,5
8,27,4,2,2,1,2,4
9,22,5,2,1,2,1,5
10,24,5,1,2,1,1,5
11,42,1,5,5,2,5,1
12,45,2,4,5,1,5,1
13,40,1,5,4,2,4,2
14,48,1,5,5,2,5,1
15,50,2,4,5,1,4,2
16,44,1,5,5,2,5,1
17,41,2,5,4,2,4,2
18,46,1,4,5,1,5,2
19,43,2,5,5,2,5,1
20,47,1,5,4,2,4,2
21,30,3,3,3,3,3,3
22,31,3,4,3,3,3,2
23,35,3,3,4,2,3,3
24,34,4,3,3,3,3,3
25,32,3,3,3,3,4,3
26,33,4,3,3,2,3,3
27,36,3,4,3,3,2,3
28,38,3,3,4,3,3,2
29,37,4,3,3,3,3,3
30,39,3,3,3,2,4,3
31,19,5,5,1,4,1,5
32,20,5,4,1,5,1,5
33,21,4,5,2,5,1,4
34,22,5,4,1,4,2,5
35,23,5,5,1,5,1,5
36,24,4,4,2,4,2,4
37,25,5,5,1,5,1,5
38,26,4,5,2,4,2,4
39,27,5,4,1,5,1,5
40,28,5,5,2,4,1,5
41,52,1,2,5,1,5,1
42,54,2,2,5,1,5,1
43,55,1,3,5,2,5,1
44,53,2,2,4,1,5,2
45,56,1,2,5,1,4,1
46,58,2,3,5,2,5,1
47,60,1,2,5,1,5,2
48,57,2,2,4,2,5,1
49,59,1,3,5,1,5,1
50,61,2,2,5,2,4,1
51,21,5,2,1,1,2,5
52,23,4,3,2,1,2,5
53,24,5,2,1,2,1,4
54,25,5,1,2,1,1,5
55,22,5,2,1,1,2,5
56,26,4,2,2,2,1,4
57,27,5,1,1,1,1,5
58,28,4,2,2,1,2,4
59,23,5,2,1,2,1,5
60,25,5,1,2,1,1,5
61,43,1,5,5,2,5,1
62,46,2,4,5,1,5,1
63,41,1,5,4,2,4,2
64,49,1,5,5,2,5,1
65,51,2,4,5,1,4,2
66,45,1,5,5,2,5,1
67,42,2,5,4,2,4,2
68,47,1,4,5,1,5,2
69,44,2,5,5,2,5,1
70,48,1,5,4,2,4,2
71,29,3,3,3,3,3,3
72,30,4,3,3,2,3,3
73,33,3,4,3,3,2,3
74,34,3,3,4,3,3,2
75,35,4,3,3,3,3,3
76,36,3,3,3,2,4,3
77,37,3,4,4,3,3,2
78,38,4,3,3,3,2,3
79,39,3,3,4,2,3,3
80,40,4,3,3,3,3,3
81,18,5,5,2,5,1,5
82,19,5,4,1,4,2,5
83,20,4,5,2,5,1,4
84,21,5,4,1,4,2,5
85,22,5,5,1,5,1,5
86,23,4,4,2,4,2,4
87,24,5,5,1,5,1,5
88,25,4,5,2,4,2,4
89,26,5,4,1,5,1,5
90,27,5,5,2,4,1,5
91,53,1,2,5,1,5,1
92,54,2,3,5,2,5,1
93,55,1,2,5,1,4,2
94,56,2,2,4,2,5,1
95,57,1,3,5,1,5,1
96,58,2,2,5,2,4,1
97,59,1,2,5,1,5,2
98,60,2,3,4,2,5,1
99,61,1,2,5,1,5,1
100,62,2,2,5,2,4,1
